weeks,ccf,antimicrobial,organism
1,0.5290084051076274,CIPROFLOXACIN_CIPROFLOXACIN,KLEBSIELLA PNEUMONIAE
2,0.5363260587695704,CIPROFLOXACIN_CIPROFLOXACIN,KLEBSIELLA PNEUMONIAE
3,0.5435271472672196,CIPROFLOXACIN_CIPROFLOXACIN,KLEBSIELLA PNEUMONIAE
4,0.5518414260604639,CIPROFLOXACIN_CIPROFLOXACIN,KLEBSIELLA PNEUMONIAE
5,0.5603229066162292,CIPROFLOXACIN_CIPROFLOXACIN,KLEBSIELLA PNEUMONIAE
6,0.5674419481522942,CIPROFLOXACIN_CIPROFLOXACIN,KLEBSIELLA PNEUMONIAE
7,0.5730276868930194,CIPROFLOXACIN_CIPROFLOXACIN,KLEBSIELLA PNEUMONIAE
8,0.5779990107762752,CIPROFLOXACIN_CIPROFLOXACIN,KLEBSIELLA PNEUMONIAE
9,0.5838265630474335,CIPROFLOXACIN_CIPROFLOXACIN,KLEBSIELLA PNEUMONIAE
10,0.590522571850413,CIPROFLOXACIN_CIPROFLOXACIN,KLEBSIELLA PNEUMONIAE
11,0.5962524218072472,CIPROFLOXACIN_CIPROFLOXACIN,KLEBSIELLA PNEUMONIAE
12,0.6017054182591013,CIPROFLOXACIN_CIPROFLOXACIN,KLEBSIELLA PNEUMONIAE
13,0.6077677067369147,CIPROFLOXACIN_CIPROFLOXACIN,KLEBSIELLA PNEUMONIAE
14,0.6129801866711905,CIPROFLOXACIN_CIPROFLOXACIN,KLEBSIELLA PNEUMONIAE
15,0.6160225071480758,CIPROFLOXACIN_CIPROFLOXACIN,KLEBSIELLA PNEUMONIAE
16,0.6174850020214069,CIPROFLOXACIN_CIPROFLOXACIN,KLEBSIELLA PNEUMONIAE
17,0.6171925173413882,CIPROFLOXACIN_CIPROFLOXACIN,KLEBSIELLA PNEUMONIAE
18,0.6135366644811825,CIPROFLOXACIN_CIPROFLOXACIN,KLEBSIELLA PNEUMONIAE
19,NA,CIPROFLOXACIN_CIPROFLOXACIN,KLEBSIELLA PNEUMONIAE
20,NA,CIPROFLOXACIN_CIPROFLOXACIN,KLEBSIELLA PNEUMONIAE
1,0.5112649072419456,AMOXICILLIN/CLAVUL._AMOXICILLINCLAVULANATE,KLEBSIELLA PNEUMONIAE
2,0.5338617180130153,AMOXICILLIN/CLAVUL._AMOXICILLINCLAVULANATE,KLEBSIELLA PNEUMONIAE
3,0.5555187918308648,AMOXICILLIN/CLAVUL._AMOXICILLINCLAVULANATE,KLEBSIELLA PNEUMONIAE
4,0.5765094773548669,AMOXICILLIN/CLAVUL._AMOXICILLINCLAVULANATE,KLEBSIELLA PNEUMONIAE
5,0.5969940351240028,AMOXICILLIN/CLAVUL._AMOXICILLINCLAVULANATE,KLEBSIELLA PNEUMONIAE
6,0.6164535849630512,AMOXICILLIN/CLAVUL._AMOXICILLINCLAVULANATE,KLEBSIELLA PNEUMONIAE
7,0.6343937573340852,AMOXICILLIN/CLAVUL._AMOXICILLINCLAVULANATE,KLEBSIELLA PNEUMONIAE
8,0.6511209586823781,AMOXICILLIN/CLAVUL._AMOXICILLINCLAVULANATE,KLEBSIELLA PNEUMONIAE
9,0.6675060565474258,AMOXICILLIN/CLAVUL._AMOXICILLINCLAVULANATE,KLEBSIELLA PNEUMONIAE
10,0.6838632478159392,AMOXICILLIN/CLAVUL._AMOXICILLINCLAVULANATE,KLEBSIELLA PNEUMONIAE
11,0.6989619569311105,AMOXICILLIN/CLAVUL._AMOXICILLINCLAVULANATE,KLEBSIELLA PNEUMONIAE
12,0.7125449968372067,AMOXICILLIN/CLAVUL._AMOXICILLINCLAVULANATE,KLEBSIELLA PNEUMONIAE
13,0.7250170841091896,AMOXICILLIN/CLAVUL._AMOXICILLINCLAVULANATE,KLEBSIELLA PNEUMONIAE
14,0.7357597529309928,AMOXICILLIN/CLAVUL._AMOXICILLINCLAVULANATE,KLEBSIELLA PNEUMONIAE
15,0.7450415195946822,AMOXICILLIN/CLAVUL._AMOXICILLINCLAVULANATE,KLEBSIELLA PNEUMONIAE
16,0.7527720630172944,AMOXICILLIN/CLAVUL._AMOXICILLINCLAVULANATE,KLEBSIELLA PNEUMONIAE
17,0.7588651668579737,AMOXICILLIN/CLAVUL._AMOXICILLINCLAVULANATE,KLEBSIELLA PNEUMONIAE
18,0.7636777572456005,AMOXICILLIN/CLAVUL._AMOXICILLINCLAVULANATE,KLEBSIELLA PNEUMONIAE
19,NA,AMOXICILLIN/CLAVUL._AMOXICILLINCLAVULANATE,KLEBSIELLA PNEUMONIAE
20,NA,AMOXICILLIN/CLAVUL._AMOXICILLINCLAVULANATE,KLEBSIELLA PNEUMONIAE
1,-0.34191018586443084,CIPROFLOXACIN_CIPROFLOXACIN,PSEUDOMONAS AERUGINOSA
2,-0.30201263528596956,CIPROFLOXACIN_CIPROFLOXACIN,PSEUDOMONAS AERUGINOSA
3,-0.26448736072322715,CIPROFLOXACIN_CIPROFLOXACIN,PSEUDOMONAS AERUGINOSA
4,-0.23313597085575535,CIPROFLOXACIN_CIPROFLOXACIN,PSEUDOMONAS AERUGINOSA
5,-0.2071302464547166,CIPROFLOXACIN_CIPROFLOXACIN,PSEUDOMONAS AERUGINOSA
6,-0.18196280360745773,CIPROFLOXACIN_CIPROFLOXACIN,PSEUDOMONAS AERUGINOSA
7,-0.15492229539190336,CIPROFLOXACIN_CIPROFLOXACIN,PSEUDOMONAS AERUGINOSA
8,-0.12773627759763903,CIPROFLOXACIN_CIPROFLOXACIN,PSEUDOMONAS AERUGINOSA
9,-0.10128750750807265,CIPROFLOXACIN_CIPROFLOXACIN,PSEUDOMONAS AERUGINOSA
10,-0.07678333154330494,CIPROFLOXACIN_CIPROFLOXACIN,PSEUDOMONAS AERUGINOSA
11,-0.05443931125564848,CIPROFLOXACIN_CIPROFLOXACIN,PSEUDOMONAS AERUGINOSA
12,-0.03383770609593733,CIPROFLOXACIN_CIPROFLOXACIN,PSEUDOMONAS AERUGINOSA
13,-0.016386931023020468,CIPROFLOXACIN_CIPROFLOXACIN,PSEUDOMONAS AERUGINOSA
14,-0.002678122429283629,CIPROFLOXACIN_CIPROFLOXACIN,PSEUDOMONAS AERUGINOSA
15,0.007284536130540173,CIPROFLOXACIN_CIPROFLOXACIN,PSEUDOMONAS AERUGINOSA
16,0.013570826607648297,CIPROFLOXACIN_CIPROFLOXACIN,PSEUDOMONAS AERUGINOSA
17,0.018963238078292956,CIPROFLOXACIN_CIPROFLOXACIN,PSEUDOMONAS AERUGINOSA
18,0.026419546126645103,CIPROFLOXACIN_CIPROFLOXACIN,PSEUDOMONAS AERUGINOSA
19,NA,CIPROFLOXACIN_CIPROFLOXACIN,PSEUDOMONAS AERUGINOSA
20,NA,CIPROFLOXACIN_CIPROFLOXACIN,PSEUDOMONAS AERUGINOSA
1,0.12024651182597788,ERYTHROMYCIN_AZITHROMYCIN,METHICILLIN RESISTANT STAPHYLOCOCCUS AUREUS
2,0.1503932462966676,ERYTHROMYCIN_AZITHROMYCIN,METHICILLIN RESISTANT STAPHYLOCOCCUS AUREUS
3,0.18099353173934654,ERYTHROMYCIN_AZITHROMYCIN,METHICILLIN RESISTANT STAPHYLOCOCCUS AUREUS
4,0.2119757049626136,ERYTHROMYCIN_AZITHROMYCIN,METHICILLIN RESISTANT STAPHYLOCOCCUS AUREUS
5,0.2431313299204504,ERYTHROMYCIN_AZITHROMYCIN,METHICILLIN RESISTANT STAPHYLOCOCCUS AUREUS
6,0.2737639421555876,ERYTHROMYCIN_AZITHROMYCIN,METHICILLIN RESISTANT STAPHYLOCOCCUS AUREUS
7,0.3035374444592515,ERYTHROMYCIN_AZITHROMYCIN,METHICILLIN RESISTANT STAPHYLOCOCCUS AUREUS
8,0.33252253821112837,ERYTHROMYCIN_AZITHROMYCIN,METHICILLIN RESISTANT STAPHYLOCOCCUS AUREUS
9,0.3608899017891191,ERYTHROMYCIN_AZITHROMYCIN,METHICILLIN RESISTANT STAPHYLOCOCCUS AUREUS
